Related Products,Productos Relacionados,,,
You're reviewing:,Tu estas viendo,,,
categories,Categorías,,,
Main Categories,Categorias principales,,,
Customer Service,Servicio al cliente,,,
Popular Tags,Etiquetas Populares,,,
RSS Feeds,Noticas RSS,,,
Popular Search Terms,Terminos de busqueda populares,,,
SEARCH SETTINGS,Ajustes de busqueda,,,
Order Information,Informacion de pedido,,,
Order ID,Numero de Pedido,,,
Enter the billing last name and email/ZIP as in the order billing address,Llena los campos de a continuación,,,
Billing Last Name,Nombre y Apellido,,,
Find Order By:,Buscar pedido por:,,,
Email Address,Correo electronico,,
ZIP Code,Codigo postal,,,
Name,Nombre,,,
Catalog Advanced Search,Busqueda avanzada,,,
Product Description,Descripción de producto,,,
Additional Information,Información adicional,,,
Categories,Categorias,,,
Categories Sitemap,Categorias del mapa de sitio,,,
Sitemap,Mapa del sitio,,,
Products,Productos,,,
Products Sitemap,Productos del mapa del sitio,,,
Customer Service,Servicio al cliente,,,
Main Categories,Categorias,,,
Popular Tags,Etiquetas Populares,,,
RSS Feeds, Noticias RSS,
Catalog Advanced Search,Busqueda avanzada,,,
Advanced Search,Busqueda avanzada,,,
Popular Search Terms,Terminos de busqueda populares,,,
You may also be interested in the following product(s),Puede que le interesen estos productos,,,
Special Price,Precio especial,,,
* Required Fields,*Selección Requerida,,,
%s,%s,,,
Search entire store here...,Buscar en la tienda...,,,
Advanced Search,Busqueda Avanzada,,,
Search Terms,Terminos de busqueda,,,
Availability:,Disponibilidad:,,,
In stock,En existencia,,,
-OR-,O tambien usar,,,
Write Your Own Review,Escribir un comentario,,,
How do you rate this product?,Como califica este producto?,,,
You're reviewing: ,Tu estas viendo:,,,
You're reviewing: %s,Tu estas viendo: %s,,,
Overall,Rendimiento,,,
Quality,Calidad,,,
Nickname,Nombre,,,
Summary of Your Review,Asunto,,,
Review,Comentario,,,
Submit Review,Comentar,,,
Please type the letters below,Por favor escriba las letras de abajo,,,
Prefix,Prefijo,,,
Middle Name/Initial,Segundo Nombre,,,
Date of Birth,Fecha de nacimiento,,,
Tax/VAT number,RFC,,,
Sort By,Ordenar por,,,
Show,Mostrar,,,
View as:,Ver como:,,,
Search results for:,Resultados de:,,,
View All Tags,Ver todas las etiquetas,,,
%s Item(s),%s productos,,,
View as,Ver como,,,
Category,Categoria,,,
Home,Inicio,,,
CMS TEST menu,Categorias,,,
Subscribe to RSS Feed,Suscribirse a RSS,,,
Recently Viewed Products,Productos visto recientemente,,,
Please select one of each of the ratings above,Porfavor calificanos antes de comentar,,,,
Add Your Tags:,Añade Tus Etiquetas,,,
Use spaces to separate tags. Use single quotes (') for phrases.,Use espacios para separar las etiquetas. Use comillas simples (') para frases.,,,
Add Tags,Añadir Etiquetas,,,
Be the first to review this product,Se el primero en comentar este producto,,,
Add to Wishlist,Añadir a mi lista de deseos,,,
Add to Compare,Añadir a comparar,,,
Email to a Friend,Compartir,,,
Product Tags,Etiquetas de producto,,,
Site Map,Mapa del sitio,,,
Enter your email address,Ingresa tu email,,,
Newsletter,Boletín de noticias,,,
Orders and Returns,Pedidos y devoluciones,,,
Subscribe,Suscribete,,,
Select Store:,Seleccionar tienda:,,,
Account,Mi cuenta,,,
Our Brands,Nuestras Marcas,,,
Product Grid,Productos,,,
Our Featured Products,Productos Destacados,,,
Special Price,Precio Especial,,,
Special Price %s,Precio Especial,,,
Compare,Comparar,,,
%s was added to your shopping cart,%s se ha añadido a tu carrito,,,
1 star,1 Estrella,,,
2 stars,2 Estrellas,,,
3 stars,3 Estrellas,,,
4 stars,4 Estrellas,,,
5 stars,5 Estrellas,,,
A name is required,Un nombre es requerido,,,
Account Created in:,Cuenta creada en:,,,
Account Created on:,Cuenta creada el:,,,
Add,Agregar,,,
Add New Address,Agregar Nueva Dirección:,,,
Add New Class,Agregar nueva clase,,,
Add New Customer Group,Agregar Nuevo Grupo de Clientes,,,
Add New Role,Agregar nuevo rol,,,
Add New Tax Rate,Agregar Nuevo Impuesto,,,
Add New Template,Añadir nueva plantilla,,,
Add New User,Agregar Nuevo Usuario,,,
Add to cart,Agregar,,,
Add to Cart,Agregar,,,
Add to Order,Agregar al Pedido,,,
Add to Queue,Añadir a fila,,,
added to your shopping cart,ha sido agregado a su carrito,,,
Address,Dirección,,,
Address Book,Libreta de direcciones ,,,
All stores,Todas las Tiendas,,,
All Stores,Todas las Tiendas,,,
Añadir al carrito,Agregar,,,
Apply,Aplicar,,,
Apply coupon code,Aplicar Código de Cupón,,,
Apply MAP,Aplicar MAP,,,
Are you sure you want to cancel add this address?,¿Seguro que no desea agregar esta dirección?,,,
Are you sure you want to delete this address?,¿Seguro que desea eliminar esta dirección?,,,
Are you sure you want to do it?,¿Seguro que quieres hacerlo?,,,
Are you sure you want to do this?,¿Seguro que quieres hacer esto?,,,
Are you sure you would like to remove this item ?,¿Estás seguro de que quieres eliminar este artículo?,,,
Are you sure you would like to remove this item from the shopping cart?,Estas seguro de eliminarlo de tu carrito?,,,
Are You Sure?,Estás seguro?,,,
Assigned Answers,Respuestas Asignadas,,,
Assigned options,Opciones asignadas,,,
Attribute Name,Nombre de Atributo,,,
Average Sale,Venta Promedio,,,
Back to Login,Volver a inicio ,,,
Backups Control,Control de Respaldos,,,
Billing Address,Dirección de Facturación,,,
Billing Agreements,Acuerdos de facturación ,,,
buy now!,comprar ahora! ,,,
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted será capaz de realizar el proceso de compra más rápidamente, almacenar varias direcciones de envío, ver y rastrear sus pedidos en su cuenta y más. ",,,
Cancel,Cancelar,,,
Card Number,Número de Tarjeta,,,
Card Verification Number,Número de Verificación de Tarjeta de Crédito,,,
Cart,Carrito,,,
Categories,Categorías,,,
CC Number,Número de Tarjeta de Crédito,,,
CC Type,Tipo de Tarjeta de Crédito,,,
Change Order Status,Cambiar estatus de pedido,,,
Checkout,Pagar,,,
Choose Store,Escoger Tienda,,,
City,Ciudad,,,
Clear Shopping Cart,Limpiar Carro ,,,
Click,Click,,,
Click here to continue shopping.,Haga clic aquí para seguir comprando. ,,,
Comment,Comentario,,,
Company,Empresa,,,
configuration,configuracion,,,
Contact Information,Información del contacto ,,,
Contact Us,Contacto,,,
copy data from,copy data from,,,
Copyright,Derechos Reservados,,,
Country,País,,,
create an account,crear una cuenta ,,,
Create an account for later use,Crear Cuenta de Cliente,,,
Create Backup,Hacer Respaldo,,,
Create My Account,Crear mi cuenta ,,,
Create New Account,Crear Cuenta,,,
Credit Card Type,Tipo de Tarjeta de Crédito,,,
Credit Memo Date,Fecha de Memorandum de Crédito,,,
Cross Salles,Ventas cruzadas,,,
Current Configuration Scope,Alcance de configuración actual,,,
custom,personalizado,,,
Customer Addresses,Direcciones del Cliente,,,
Customer Balance,Saldo del Cliente,,,
Customer does not have any addresses,El cliente no tiene ninguna dirección.,,,
Customer Group:,Grupo de Cliente:,,,
Customer Groups,Grupos de Clientes,,,
Customers,Clientes,,,
Dashboard Control,Panel de Control,,,
Date and Time,Fecha y Hora,,,
Default Billing,Facturación por defecto,,,
Default Shipping,Envío por Defecto,,,
Default Shipping Address,Dirección de Envío Predeterminada,,,
direcciones,Dirección,,,
Discount,Descuento,,,
Display Actual Price,Mostrar Precio Actual,,,
Double click on a group to rename it,Haga doble clic en un grupo para cambiarle el nombre,,,
Edit Role,Editar Rol,,,
Edit User ,Editar Usuario,,,
Email,Email,,,
Email Address,Email,,,
Email Preview,Previsualización del Correo,,,
Empty,Vacío,,,
English,Inglés,,,
Enter your coupon code:,Ingrese Código de Cupón,,,
Enter your email,Ingrese su Email,,,
enter your mail here,Ingresa tu email aquí…,,,
Expiration Date,Fecha de Expiración,,,
Export Tax Rates,Exportar Impuestos,,,
Export to,Exportar a,,,
Failed,Falló,,,
Fax,Fax,,,
Featured Products,Productos Destacados,,,
Featureds,Destacados,,,
Female,Mujer,,,
Fill in the Fields below to complete your purchase!,Rellene los campos de abajo para completar su compra!,,,
First Name,Nombre,,,
Fixed,Fijo,,,
Follow us on:,Síguenos en: ,,,
for %s,"para ""%s"".",,,
Forgot Your Password?,¿Olvidaste tu contraseña? ,,,
French,Francés,,,
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,Desde su Panel de control usted tiene la posibilidad de ver una instantánea de su actividad reciente de la cuenta y actualizar su información de cuenta. Seleccione el enlace de abajo para ver o editar la información.,,,
Gender,Genero,,,
Germany,Alemán,,,
Gift Certificate,Certificado de Regalo,,,
Gift Options,Opciones de Regalo,,,
Global Record Search,Búsqueda Global de Registro,,,
Go to shopping cart,Ir a al carrito,,,
Grand Total,Gran Total,,,
Grand Total Excl. Tax,Total Sin IVA,,,
Grand Total Incl. Tax,Total Con IVA,,,
Group Price,Precio por Grupo,,,
Groups,Grupos de Clientes,,,
here,aquí ,,,
If you do not specify an option value for a store then the default value will be used.,"Si no se especifica un valor de opción para una tienda, se utilizará el valor por defecto.",,,
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor conectarse. ",,,
Import Tax Rates,Importar Tarifas de Impuestos,,,
In Stock,en stock ,,,
in your cart.,En tu carrito.,,,
Incorrect CAPTCHA.,CAPTCHA Incorrecto,,,
Invoice Date,Fecha del Recibo,,,
Invoice Status,Estatus del Recibo,,,
item,artículo ,,,
Item Status,Estatus del Artículo,,,
Item was successfully added to your cart,El artículo fue agregado a su carrito,,,
item(s),artículo (s) ,,,
Items Ordered,Artículos del Pedido,,,
Items Shipped,Artículos Enviados,,,
Items that you don,Artículos que usted no,,,
Last Log In:,Ultimo Acceso:,,,
Last Name,Apellidos,,,
Lifetime Sales,Ventas de Todo el Periodo,,,
Log In,Entrar,,,
Log into Magento Admin Page,Entrar en el Administrador de Magento,,,
Log Out,Salir,,,
Logged in as <strong>%s</strong>,Ha ingresado como <strong>%s</strong>,,,
LOGIN HERE,Ingrese Aquí,,,
Login Here,Ingrese Aquí,,,
Login here,Ingrese Aquí,,,
LOGIN HERE,Ingrese Aquí,,,
Login or Create an Account,Ingresar o Crear una cuenta ,,,
LOGIN OR CREATE AN ACCOUNT,Iniciar sesión o CREAR UNA CUENTA ,,,
Logout,Salir,,,
Magento Admin,Admin de Magento,,,
Magento Commerce - Administrative Panel,Panel de Administración de Magento Commerce,,,
Magento Logo,Logo de Manegto,,,
Male,Hombre,,,
Manage Options (values for your attribute),Administrar opciones (valores para su atributo),,,
"Manage Titles (Size, Color, etc.)","Gestión de Títulos (Talla, Color, etc.)",,,
Manufacturer's Suggested Retail Price,Precio de venta al público sugerido por el fabricante,,,
Meta Information,Etiquetas Meta,,,
More Items,Más productos,,,
Mostviewed,Más Vistos,,,
Move to:,Mover a:,,,
My Account,Mi Cuenta,,,
My Applications,Mis aplicaciones ,,,
MY DASHBOARD,Mi Panel de control,,,
My Dashboard,Mi Panel de Control,,,
My Downloadable Products,Mis productos descargables ,,,
My Product Reviews,Mis Opiniones del producto ,,,
My Wishlist,Mi Lista,,,
Name,Nombre,,,
Name & Address,Nombre y dirección ,,,
Name on Card,Nombre en la Tarjeta,,,
Need an account?,¿Necesitas una cuenta? ,,,
Need an account? Sign up!,¿Necesitas una cuenta? Registrate! ,,,
New,Nuevo ,,,
New Customer Address,Dirección de Nuevo Cliente,,,
New Customers,Usuarios Nuevos ,,,
NEW CUSTOMERS,NUEVOS USUARIOS,,,
New Products,Productos Nuevos,,,
Newsletter Message Preview,Vista previa del boletín de noticias,,,
Newsletter Problem Reports,Informe de Problemas en Novedades,,,
Newsletter Queue,Fila de Envíos,,,
Newsletter Subscribers,Suscriptores a Novedades,,,
Newsletter Subscriptions,Suscripciones al boletín,,,
Next page,Siguiente Pagina,,,
Not Charged Yet,No ha sido cobrado aún,,,
Número Impuestos/IVA,RFC,,,
of,de,,,
Online Customers,Clientes Online,,,
Onsales,Remates,,,
Option,Opción,,,
Options,Opciones,,,
Order Comment,Comentarios al Pedido,,,
Order Date,Fecha de Pedido,,,
Order History,Historial de Pedidos,,,
Order Status,Estatus de Pedido,,,
our brands,Marcas,,,
Our Brands,Marcas,,,
Page,Pagina,,,
Paid,Pagado,,,
Password,Contraseña,,,
Payment Method,Método de Pago,,,
per page,por página,,,
Percentage,Porcentaje,,,
Personal Information,Información Personal,,,
Please add one or more options,"Por favor, añada una o más opciones",,,
Please choose to register or to checkout as a guest,Elije si quieres registrarte o pagar como invitado!,,,
Please confirm site switching. All data not saved will be lost.,"Por favor, confirme cambio de sitios. Todos los datos no guardados se perderán.",,,
Please Enter New Group Name,Ingrese el Nombre del Nuevo Grupo,,,
Please enter your email address below. You will receive a link to reset your password.,Introduzca su dirección de correo electrónico a continuación. Usted recibirá un enlace para restablecer tu contraseña. ,,,
Please select from each ratings above,Seleccione alguna de las calificaciones,,,
Please select one or more attributes.,"Por favor, seleccione uno o más atributos.",,,
Please wait,Procesando,,,
Please wait…,Procesando…,,,
PO Number,Apartado Postal,,,
Position,Posición,,,
Previus page,Página Anterior,,,
Price,Precio,,,
Prices,Precios,,,
Primary Billing Address,Dirección de Facturación Principal,,,
Product Categories,Categorías de Producto,,,
Product ID,ID de Producto,,,
Product In Stores,Productos en Tienda,,,
Product Name,Nombre de Producto,,,
Products,Productos,,,
Purchase order number,Número de Órden de Compra,,,
Qty,Cantidad,,,
Qty Backordered,Cantidad en espera,,,
Qty Cancelled,Cantidad de Cancelados,,,
Qty Ordered,Cantidad Ordenada,,,
Qty Returned,Cantidad Devuelta,,,
Qty Shipped,Cantidad Enviada,,,
Qty To Return,Cantidad a Devolver,,,
Quantity:,Cantidad:,,,
Quick View,Vista Rápida,,,
Rating Not Available,Calificación No Disponible,,,
Re Password,Recuperar Contraseña ,,,
recently bought,Recientemente Comprado,,,
Recurring Profile,Perfil Recurrente,,,
REGISTERED CUSTOMERS,USUARIOS REGISTRADOS,,,
Registered Customers,Clientes Registrados,,,
Related products,Productos Relacionados ,,,
Relevance,Relevancia,,,
Remember Me,Recordarme,,,
Remove,Eliminar,,,
Retrieve your password here,Recupere su contraseña aquí ,,,
Review Your Order,Revise su pedido ,,,
Reviews,Comentarios ,,,
Role Users,Roles de Usuario,,,
Roles,Roles,,,
Roles Resources,Recursos de Roles,,,
Sale Products,Productos con Descuento,,,
Sales Statistics,Estadísticas de venta,,,
Same as Billing Address,Misma que la dirección de facturación.,,,
search,buscar,,,
Search,Buscar,,,
Select from existing customer addresses:,Seleccione una de las direcciones del cliente:,,,
Send,Enviar ,,,
Send comment to customer,Enviar comentario al cliente,,,
Set as default billing address,Establecer como dirección de facturación por defecto.,,,
Set root category for this store in,Establezca categoría raíz de esta tienda en,,,
Shipping,Envío,,,
Shipping Address,Dirección de Envío,,,
Shipping Method,Método de Envío,,,
Shop By,Comprar por:,,,
Shopping Cart,Carrito de Compras,,,
SHOPPING CART,Carrito de compras,,,
Shopping Cart is Empty,El Carrito de compra está vacío,,,
Short Description,Descripción corta,,,
Show:,Mostrar:,,,
Sign in,Ingresar,,,
Sign in with,Ingresar con,,,
Sign Up,Registrarse,,,
Sign Up for Newsletter,Suscribirse al boletín ,,,
Sign up to receive the latest fashion news,Regístrese para recibir las últimas noticias de moda,,,
Sign up!,Registrarse!,,,
Size,Talla,,,
SKU,SKU,,,
Something went wrong...,Algo salió mal!,,,
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay cotizaciones disponibles para este fin en este momento.",,,
Sort by:,Ordenar por:,,,
Special Price,Precio Especial,,,
Special Price From Date,Inicio de Precio Especial,,,
Special Price To Date,Fin de Precio Especial,,,
State/Province,Estado/Provincia,,,
Store,Tienda,,,
Street Address,Calle y Número,,,
Subscribe to newsletter,Suscríbase a Ofertas y Novedades,,,
Subtotal,Subtotal,,,
Super product attributes configuration,Configuración de atributos de Super Producto,,,
Tax,Impuesto,,,
Tax Rates Import / Export,Impuestos de Importación / Exportación,,,
Telephone,Teléfono,,,
Thank you for registering with,Gracias por registrarse con ,,,
Thank you for registering with Main Website Store.,Gracias por registrarse con nosotros!. ,,,
Thank you for your choosing,Gracias por tu elección,,,
Thank you for your choosing!,Gracias por su elección,,,
The information in this tab has been changed.,La información contenida en esta ficha se ha cambiado.,,,
The product %s has been added to comparison list.,El producto %s se ha añadido con exito a la lista de comparación.,,,
The product could not be found.,El producto no fue encontrado!,,,
There are no billing agreements yet.,No existen acuerdos de facturación todavía. ,,,
There are no recurring profiles yet.,No existen perfiles recurrentes todavía. ,,,
There is,Hay,,,
There is %s in your cart.,Hay %s en tu carrito.,,,
There was a problem with the subscription:,Hubo un error con tu subscripcion!,,,
"This group contains system attributes.\nPlease, move system attributes to another group and try again.","Este grupo contiene atributos de sistema.\nPorfavor, mueva estos atributos a otro grupo y trate de nuevo.",,,
This tab contains invalid data. Please correct before saving.,"Esta ficha contiene datos no válidos. Por favor, corrija antes de guardar.",,,
Tier Price,Precio por Volúmen,,,
to continue shopping.,para seguir comprando. ,,,
Total,Total,,,
Total <strong>%d</strong> records found,Total <strong>%d</strong> registros encontrados.,,,
Total Due,Total a Pagar,,,
Total Payed,Total Pagado,,,
"Unable to complete request. Please, try again later.","No se puede completar la solicitud. Por favor, inténtelo de nuevo más tarde.",,,
Unassigned Attributes,Atributos no Asignado,,,
Update Qty,Actualizar Cantidad,,,
Upsell Products,Complementos Ideales,,,
UpSell Products,Complementos Ideales,,,
User roles,Roles de Usuario,,,
Username,Nombre de Usuario ,,,
Users,Usuarios,,,
VAT Number,RFC,,,
Ventas más altas,Upsalles,,,
View,Ver,,,
View as:,Ver por:,,,
View cart & checkout,Ver y pedido y pagar,,,
View your Cart,Ver pedido,,,
Visitors,Visitantes,,,
What is this?,¿Qué es esto?,,,
What's this?,¿Qué es esto?,,,
Who,Quién,,,
Wishlist,Lista de Deseos,,,
Wishlist Report,Reporte de Lista de Deseos,,,
Working...,Procesando...,,,
You are currently not subscribed to any newsletter.,No está suscrito a nuestra lista de ofertas y novedades.,,,
You can not remove system attribute from this set.,No se pueden quitar el atributos de sistema en este conjunto.,,,
You have no applications.,No tiene aplicaciones. ,,,
You have no items in your shopping cart.,No tiene artículos en su carrito de compras. ,,,
You have no items to compare.,No hay elementos para comparar.,,,
You have not purchased any downloadable products yet.,Usted no ha comprado ningún producto descargable todavía. ,,,
You have not set a default billing address.,Usted no ha configurado una dirección de facturación por defecto. ,,,
You have not set a default shipping address.,Usted no ha configurado una dirección de envío predeterminada. ,,,
Your email...,Su correo electrónico ... ,,,
Your email...,Su correo electrónico ... ,,,
Your email...,Su correo electrónico ... ,,,
Your name...,Su nombre ... ,,,
Your Personal Details,Sus datos personales ,,,
Zip/Post Code,Código Postal,,,
Customer Login,Acceso a Clientes,,,
Login ,,,,
Create an Account,Crear una Cuenta,,,
Create New Customer Account,Crear cuenta para clientes nuevos,,,
Login Information,Informaccion de Acceso,,,
Back,Regresar,,,
Submit,Enviar,,,
Confirm Password,Confirmar Password,,,
"There is already an account with this email address. If you are sure that it is your email address, <a href=""http://tishi.pmk.mx/es/customer/account/forgotpassword/"">click here</a> to get your password and access your account.",,,,
Thank you for registering with %s.,Gracias por registrarte con %s.,,,
"Hello, %s!","Hola, %s!",,,
Edit,Editar,,,
Account Information,Información de la Cuenta,,,
Change Password,Cambiar Contraseña,,,
Default Billing Address,Dirección de Facturación Predeterminada,,,
Account Dashboard,Panel de Control de la Cuenta,,,
Account Information,Información de la Cuenta,,,
My Orders,Mis Pedidos,,,
Recurring Profiles,Perfiles Recurrentes,,,
Save,Guardar,,,
You have placed no orders.,No has realizado pedidos.,,,
You have no items in your wishlist.,No tienes artículos en tu lista de deseos.,,,
Newsletter Subscription,Suscripción al Newsletter,,,
%s was added to your shopping cart.,%s ha sido agregado a tu carrito.,,,
View all items in your shopping cart,Ver todos los artículos de tu pedido.,,,
View All,Ver Todo,,,
Ship to this address,Enviar a esta dirección,,,
Proceed to Checkout,Pagar,,,
Recently added item(s),Agregados recientemente,,,
Cart Subtotal:,Subtotal,,,
Billing Information,Información de Facturación,,,
Zip/Postal Code,Código Postal,,,
Your Checkout Progress,Progreso del pedido.,,,
Ship to different address,Enviar a otra dirección,,,
Continue,Continuar,,,
Shipping Information,Información de Envío,,,
Payment Information,Información de Pago,,,
Order Review,Resumen del Pedido,,,
Place Order,Hacer Pedido,,,
Forgot an Item?,Olvidaste Algo?,,,
Edit Your Cart,Editar Pedido,,,
Submitting order information...,Enviando…,,,
Loading next step...,Cargando…,,,
Next,Siguiente,,,
Recent Orders,Pedidos Recientes,,,
Last Ordered Items,Artículos comprados recientemente,,,
Order #,Pedido #,,,
Date,Fecha,,,
Ship To,Enviado A,,,
Order Total,Total del Pedido,,,
Status,Estatus,,,
Pending,Pendiente,,,
Completed,Completado,,,
View Order,Ver Pedido,,,
Reorder,Comprar Nuevamente,,,
Manage Addresses,Gestionar Direcciones,,,
Select a billing address from your address book or enter a new address.,Seleccionar dirección de la libreta o agregar una nueva.,,,
Estimate Shipping and Tax,Costo estimado de envío e impuestos,,,
Get a Quote,Cotizar,,,
Apply Coupon,Usar Cupón,,,
Discount Codes,Cupones de Descuento,,,
Enter your coupon code if you have one.,Ingrese su cupón si tiene uno.,,,
Unit Price,Precio Unitario,,,
Move to Wishlist,Mover a Lista de Deseos,,,
Update Shopping Cart,Actualizar Pedido,,,
Continue Shopping,Continuar Comprando,,,
Enter your destination to get a shipping estimate.,Ingrese destino y obtenga el costo de envío,,,
"Coupon code ""%s"" is not valid.","El cupón ""%s"" no es valido.",,,
Canceled,Cancelado,,,
Cancelled,Cancelado,,,
Update Total,Actualizar Total,,,
Shipping &amp; Handling,Costo de Envío,,,
Qty:,Cantidad:,,,
There are no products matching the selection.,Pronto agregaremos productos a esta categoría.,,,
Edit item,Editar Artículo,,,
Remove This Item,Remover Artículo,,,
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=“%s"">aqui</a> para seguir comprando.",,,
Sign in Or Register,Entrar o Crear una Cuenta,,,
User Name,Nombre de Usuario ,,,
NEW HERE?,Nuevo Cliente?,,,
Create an account,Crear una Cuenta,,,
Checkout as a Guest or Register,Pagar como Invitado o Registrarse,,,
This is a required field.,Este campo es requerido.,,,
Checkout as Guest,Pagar como Invitado,,,
Register,Registrarse,,,
Register with us for future convenience:,Regístrese y obtenga beneficios:,,,
Already registered?,Ya está registrado?,,,
Please log in below:,Por favor ingrese aquí:,,,
Forgot your password?,Contraseña Olvidada,,,
Login,Entrar,,,
Fast and easy check out,Page de forma rápida y segura,,,
Easy access to your order history and status,Obtenga un historial de pedidos.,,,
Checkout Method,Pague como Invitado o Cliente Registrado,,,
Your order has been received.,Tu pedido ha sido recibido!,,,
Thank you for your purchase!,Gracias por tu compra!,,,
Shipping &amp; Handling,Costo de Envío,,,
You will receive an invoice via email.,Recibirás un recibo por email.,,,
Your order # is: %s.,Tu número de pedido es: %s.,,,
You will receive an order confirmation email with details of your order and a link to track its progress.,"Recibirás un email con tu número de pedido, detalles y un link para dar seguimiento.",,,
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=“this.target='_blank'"">aquí para imprimir</a> una copia de tu pedido.",,,
Order #%s,Pedido #%s,,,
Order Date: %s,Fecha del Pedido: %s,,,
Ordered,Pedidos,,,
Shipping &amp; Handling,Costo de Envío,,,
Close Window,Cerrar Ventana,,,
Checkout with Multiple Addresses,Pagar y enviar a múltiples direcciones.,,,
You will be redirected to the PayPal website.,Serás redireccionado al sitio seguro de PayPal,,,
What is PayPal?,Qué es PayPal?,,,
Change,Cambiar,,,
Language,Idioma,,,
SHOPPING BAG,Carrito de compras,,,
Shopping Bag,Carrito de compras,,,
Shopping bag,Carrito de compras,,,
Shop,Tienda,,,
Men,Hombre,,,
Footwear,Calzado,,,
Collections,Colecciones,,,
Accessories,Accesorios,,,
Bestseller,Más Vendidos,,,
Bestsellers,Más Vendidos,,,
Sale,Oferta,,,
Latest news,Últimas Noticias,,,
Enter your email…,Ingrese su email…,,,
Enter your keyword…,Ingrese su búsqueda…,,,
NEW HERE?,Nuevo aquí?,,,
Create an account,Crear una Cuenta,,,
LOGIN,Entrar,,,
User Name,Usuario,,,
Special Price,Precio Especial,,,
Shipping & Handling,Gastos de Envío,,,
My Cart,Mi Carrito,,,
Community Poll,Encuesta de comunidad,,,
Quick Links,Enlaces Rapidos,,,
New Here?,Eres Nuevo?,,,
Registration is free and easy!,El registro es gratis y fácil,,,
Faster checkout,Compra más rápido,,,
Save multiple shipping addresses,Guarda múltiples direcciones de envío,,,
View and track orders and more,Ver y seguimiento de pedidos y más,,,
Please enter the following information to create your account.,Por favor introduzca la siguiente información para crear su cuenta.,,,
Newsletters,Boletines,,,
Edit Account Information,Editar información de la cuenta,,,
You have submitted no reviews.,Usted ha presentado ningun comentario.,,,
My Tags,Mis Etiquetas,,,
You have not tagged any products yet.,No ha etiquetado ningún producto todavía.,,,
General Subscription,Suscripción general,,,
Vote,Votar,,,
"Welcome, %s!","Bienvenido, %s!",,,
Search results for: '%s',Resultados de la búsqueda para: '%s',,,
Your search returns no results.,Búsqueda sin resultados.,,,
Search results for '%s',Resultados de la búsqueda para '%s',,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
